year,rank,marks
2082,7,127.9
2082,9-10,126.8
2082,12,125.7
2082,16,124.6
2082,17-18,123.5
2082,24,122.0
2082,26-27,121.5
2082,29-30,121.3
2082,32-34,120.2
2082,39,119.3
2082,43,119.1
2082,49-57,118.0
2082,62-63,116.9
2082,65-71,115.8
2082,77-84,114.7
2082,90-95,113.6
2082,97,112.6
2082,98-104,112.5
2082,110,112.0
2082,111,111.7
2082,113-121,111.4
2082,127,110.8
2082,128,110.7
2082,129-130,110.6
2082,131,110.4
2082,132,110.3
2082,147-149,109.4
2082,152-161,109.2
2082,166-167,108.3
2082,170-177,108.1
2082,185,107.3
2082,189,107.1
2082,190-202,107.0
2082,217-233,105.9
2082,254,104.4
2082,264-268,103.7
2082,284,102.6
2082,299,102.0
2082,303-324,101.5
2082,337,100.6
2082,347-357,100.4
2082,359,100.3
2082,365,99.6
2082,376-390,99.3
2082,399,98.5
2082,442,97.3
2082,455,97.1
2082,490-493,96.0
2082,547,94.9
2082,582,93.8
2082,610-640,92.7
2082,658,91.7
2082,674,91.6
2082,726,90.5
2082,756-775,89.4
2082,789,88.9
2082,795,88.6
2082,800,88.5
2082,808-809,88.4
2082,815-829,88.3
2082,855,87.4
2082,867-884,87.2
2082,930,86.1
2082,985-1009,85.0
2082,1054-1066,83.9
2082,1085,83.5
2082,1134-1149,82.8
2082,1263,80.6
2082,1718,74.7
2082,1784,74.0
2082,1879,72.9
2082,1919,72.6
2082,1933,72.2
2082,1963,71.8
2082,2467,67.2
2082,2564,66.3
2082,4303-4322,54.2
2081,3,126.8
2081,5,125.7
2081,6,124.6
2081,8-10,123.5
2081,18-19,121.3
2081,22-25,120.2
2081,27-35,119.1
2081,37,118.1
2081,41,118.0
2081,46-52,116.9
2081,54,115.8
2081,66-69,114.7
2081,73-75,113.7
2081,78-88,113.6
2081,92,112.7
2081,97-101,112.5
2081,110-120,111.4
2081,129-137,110.3
2081,142,109.4
2081,145-152,109.2
2081,164-176,108.1
2081,180-197,107.0
2081,209-219,105.9
2081,221,105.3
2081,225-233,104.8
2081,236,103.9
2081,238,103.8
2081,242-257,103.7
2081,268-285,102.6
2081,293,101.8
2081,304-318,101.5
2081,330-351,100.4
2081,353,100.1
2081,372,99.2
2081,381-387,98.2
2081,428,97.1
2081,431,96.8
2081,450-459,96.0
2081,467,95.8
2081,472,87.2
2081,483,94.9
2081,495-497,94.3
2081,501,94.0
2081,518-540,93.8
2081,555-583,92.7
2081,593-620,91.6
2081,637,90.6
2081,657-664,90.5
2081,679,89.5
2081,717,89.1
2081,720,88.8
2081,763,88.3
2081,770,87.5
2081,809,87.2
2081,832-845,86.1
2081,879-890,85.1
2081,895-903,85.0
2081,997,83.9
2081,1060-1092,81.7
2081,1117,80.6
2081,1197,79.5
2081,1253-1277,78.4
2081,1299,78.1
2081,1436,76.2
2081,1469,75.3
2081,1533,74.3
2081,1646-1671,72.9
2081,1691,72.2
2081,1859,70.7
2081,1891,69.9
2081,2010,68.6
2081,3019,59.7
2081,3082,58.8
2081,3404,56.4
2081,3638,55.2
2081,4114,52.0
2081,5096,45.4
